Series ID,Month,Month Name,Year,Month_Year,Value,Year-format
HICP.M.BG.N.041000.4D0.INX,M01,Jan,2001,Jan 2001,38.13,2001-01-01
HICP.M.BG.N.041000.4D0.INX,M02,Feb,2001,Feb 2001,38.85,2001-02-01
HICP.M.BG.N.041000.4D0.INX,M03,Mar,2001,Mar 2001,38.83,2001-03-01
HICP.M.BG.N.041000.4D0.INX,M04,Apr,2001,Apr 2001,39.16,2001-04-01
HICP.M.BG.N.041000.4D0.INX,M05,May,2001,May 2001,39.72,2001-05-01
HICP.M.BG.N.041000.4D0.INX,M06,Jun,2001,Jun 2001,39.87,2001-06-01
HICP.M.BG.N.041000.4D0.INX,M07,Jul,2001,Jul 2001,39.88,2001-07-01
HICP.M.BG.N.041000.4D0.INX,M08,Aug,2001,Aug 2001,39.89,2001-08-01
HICP.M.BG.N.041000.4D0.INX,M09,Sep,2001,Sep 2001,40.02,2001-09-01
HICP.M.BG.N.041000.4D0.INX,M10,Oct,2001,Oct 2001,40.58,2001-10-01
HICP.M.BG.N.041000.4D0.INX,M11,Nov,2001,Nov 2001,40.77,2001-11-01
HICP.M.BG.N.041000.4D0.INX,M12,Dec,2001,Dec 2001,41.54,2001-12-01
HICP.M.BG.N.041000.4D0.INX,M01,Jan,2002,Jan 2002,43.2,2002-01-01
HICP.M.BG.N.041000.4D0.INX,M02,Feb,2002,Feb 2002,43.42,2002-02-01
HICP.M.BG.N.041000.4D0.INX,M03,Mar,2002,Mar 2002,43.51,2002-03-01
HICP.M.BG.N.041000.4D0.INX,M04,Apr,2002,Apr 2002,43.48,2002-04-01
HICP.M.BG.N.041000.4D0.INX,M05,May,2002,May 2002,43.46,2002-05-01
HICP.M.BG.N.041000.4D0.INX,M06,Jun,2002,Jun 2002,43.38,2002-06-01
HICP.M.BG.N.041000.4D0.INX,M07,Jul,2002,Jul 2002,43.29,2002-07-01
HICP.M.BG.N.041000.4D0.INX,M08,Aug,2002,Aug 2002,43.32,2002-08-01
HICP.M.BG.N.041000.4D0.INX,M09,Sep,2002,Sep 2002,43.35,2002-09-01
HICP.M.BG.N.041000.4D0.INX,M10,Oct,2002,Oct 2002,43.52,2002-10-01
HICP.M.BG.N.041000.4D0.INX,M11,Nov,2002,Nov 2002,43.45,2002-11-01
HICP.M.BG.N.041000.4D0.INX,M12,Dec,2002,Dec 2002,43.43,2002-12-01
HICP.M.BG.N.041000.4D0.INX,M01,Jan,2003,Jan 2003,43.27,2003-01-01
HICP.M.BG.N.041000.4D0.INX,M02,Feb,2003,Feb 2003,43.3,2003-02-01
HICP.M.BG.N.041000.4D0.INX,M03,Mar,2003,Mar 2003,43.29,2003-03-01
HICP.M.BG.N.041000.4D0.INX,M04,Apr,2003,Apr 2003,43.35,2003-04-01
HICP.M.BG.N.041000.4D0.INX,M05,May,2003,May 2003,43.2,2003-05-01
HICP.M.BG.N.041000.4D0.INX,M06,Jun,2003,Jun 2003,43.09,2003-06-01
HICP.M.BG.N.041000.4D0.INX,M07,Jul,2003,Jul 2003,43.18,2003-07-01
HICP.M.BG.N.041000.4D0.INX,M08,Aug,2003,Aug 2003,43.38,2003-08-01
HICP.M.BG.N.041000.4D0.INX,M09,Sep,2003,Sep 2003,43.37,2003-09-01
HICP.M.BG.N.041000.4D0.INX,M10,Oct,2003,Oct 2003,43.17,2003-10-01
HICP.M.BG.N.041000.4D0.INX,M11,Nov,2003,Nov 2003,43.25,2003-11-01
HICP.M.BG.N.041000.4D0.INX,M12,Dec,2003,Dec 2003,43.17,2003-12-01
HICP.M.BG.N.041000.4D0.INX,M01,Jan,2004,Jan 2004,43.32,2004-01-01
HICP.M.BG.N.041000.4D0.INX,M02,Feb,2004,Feb 2004,43.48,2004-02-01
HICP.M.BG.N.041000.4D0.INX,M03,Mar,2004,Mar 2004,43.81,2004-03-01
HICP.M.BG.N.041000.4D0.INX,M04,Apr,2004,Apr 2004,43.99,2004-04-01
HICP.M.BG.N.041000.4D0.INX,M05,May,2004,May 2004,44.21,2004-05-01
HICP.M.BG.N.041000.4D0.INX,M06,Jun,2004,Jun 2004,44.21,2004-06-01
HICP.M.BG.N.041000.4D0.INX,M07,Jul,2004,Jul 2004,44.27,2004-07-01
HICP.M.BG.N.041000.4D0.INX,M08,Aug,2004,Aug 2004,44.49,2004-08-01
HICP.M.BG.N.041000.4D0.INX,M09,Sep,2004,Sep 2004,44.82,2004-09-01
HICP.M.BG.N.041000.4D0.INX,M10,Oct,2004,Oct 2004,45.31,2004-10-01
HICP.M.BG.N.041000.4D0.INX,M11,Nov,2004,Nov 2004,45.57,2004-11-01
HICP.M.BG.N.041000.4D0.INX,M12,Dec,2004,Dec 2004,45.82,2004-12-01
HICP.M.BG.N.041000.4D0.INX,M01,Jan,2005,Jan 2005,45.98,2005-01-01
HICP.M.BG.N.041000.4D0.INX,M02,Feb,2005,Feb 2005,46.44,2005-02-01
