Series ID,Month,Month Name,Year,Month_Year,Value,Year-format
ICP.M.BG.N.041000.4.INX,M01,Jan,2001,Jan 2001,56.64,2001-01-01
ICP.M.BG.N.041000.4.INX,M02,Feb,2001,Feb 2001,57.7,2001-02-01
ICP.M.BG.N.041000.4.INX,M03,Mar,2001,Mar 2001,57.67,2001-03-01
ICP.M.BG.N.041000.4.INX,M04,Apr,2001,Apr 2001,58.17,2001-04-01
ICP.M.BG.N.041000.4.INX,M05,May,2001,May 2001,59.0,2001-05-01
ICP.M.BG.N.041000.4.INX,M06,Jun,2001,Jun 2001,59.22,2001-06-01
ICP.M.BG.N.041000.4.INX,M07,Jul,2001,Jul 2001,59.24,2001-07-01
ICP.M.BG.N.041000.4.INX,M08,Aug,2001,Aug 2001,59.25,2001-08-01
ICP.M.BG.N.041000.4.INX,M09,Sep,2001,Sep 2001,59.45,2001-09-01
ICP.M.BG.N.041000.4.INX,M10,Oct,2001,Oct 2001,60.28,2001-10-01
ICP.M.BG.N.041000.4.INX,M11,Nov,2001,Nov 2001,60.56,2001-11-01
ICP.M.BG.N.041000.4.INX,M12,Dec,2001,Dec 2001,61.71,2001-12-01
ICP.M.BG.N.041000.4.INX,M01,Jan,2002,Jan 2002,64.17,2002-01-01
ICP.M.BG.N.041000.4.INX,M02,Feb,2002,Feb 2002,64.5,2002-02-01
ICP.M.BG.N.041000.4.INX,M03,Mar,2002,Mar 2002,64.62,2002-03-01
ICP.M.BG.N.041000.4.INX,M04,Apr,2002,Apr 2002,64.58,2002-04-01
ICP.M.BG.N.041000.4.INX,M05,May,2002,May 2002,64.56,2002-05-01
ICP.M.BG.N.041000.4.INX,M06,Jun,2002,Jun 2002,64.44,2002-06-01
ICP.M.BG.N.041000.4.INX,M07,Jul,2002,Jul 2002,64.31,2002-07-01
ICP.M.BG.N.041000.4.INX,M08,Aug,2002,Aug 2002,64.34,2002-08-01
ICP.M.BG.N.041000.4.INX,M09,Sep,2002,Sep 2002,64.39,2002-09-01
